,Date,Country,Price in US Dollars
0,2000-04-01,Argentina,2.5
1,2000-04-01,Australia,1.5416666666666698
2,2000-04-01,Brazil,1.64804469273743
3,2000-04-01,Canada,1.93877551020408
4,2000-04-01,Switzerland,3.4705882352941204
5,2000-04-01,Chile,2.45136186770428
6,2000-04-01,China,1.19565217391304
7,2000-04-01,Czech Republic,1.39053708439898
8,2000-04-01,Denmark,3.07835820895522
9,2000-04-01,Euro area,2.38080000045235
10,2000-04-01,Britain,3.0020000019212802
11,2000-04-01,Hong Kong,1.30937098844673
12,2000-04-01,Hungary,1.21505376344086
13,2000-04-01,Indonesia,1.82504719949654
14,2000-04-01,Israel,3.58024691358025
15,2000-04-01,Japan,2.77358490566038
16,2000-04-01,South Korea,2.70758122743682
17,2000-04-01,Mexico,2.2210414452709903
18,2000-04-01,Malaysia,1.18947368421053
19,2000-04-01,New Zealand,1.69154228855721
20,2000-04-01,Poland,1.27906976744186
21,2000-04-01,Russia,1.3859649122806998
22,2000-04-01,Singapore,1.88235294117647
23,2000-04-01,Sweden,2.7149321266968296
24,2000-04-01,Thailand,1.4473684210526299
25,2000-04-01,Taiwan,2.28758169934641
26,2000-04-01,United States,2.51
27,2000-04-01,South Africa,1.33928571428571
28,2001-04-01,Argentina,2.5
29,2001-04-01,Australia,1.51515151515152
30,2001-04-01,Brazil,1.6438356164383603
31,2001-04-01,Canada,2.1346153846153797
32,2001-04-01,Switzerland,3.64161849710983
33,2001-04-01,Chile,2.09650582362729
34,2001-04-01,China,1.19565217391304
35,2001-04-01,Czech Republic,1.4358974358974401
36,2001-04-01,Denmark,2.92553191489362
37,2001-04-01,Euro area,2.26160000072371
38,2001-04-01,Britain,2.84570000122365
39,2001-04-01,Hong Kong,1.3717948717948703
40,2001-04-01,Hungary,1.31683168316832
41,2001-04-01,Indonesia,1.35421464762782
42,2001-04-01,Japan,2.37096774193548
43,2001-04-01,South Korea,2.26415094339623
44,2001-04-01,Mexico,2.35737351991389
45,2001-04-01,Malaysia,1.18947368421053
46,2001-04-01,New Zealand,1.4574898785425099
47,2001-04-01,Philippines,1.17296222664016
48,2001-04-01,Poland,1.4640198511166298
49,2001-04-01,Russia,1.2110726643598602
50,2001-04-01,Singapore,1.8232044198895
51,2001-04-01,Sweden,2.33463035019455
52,2001-04-01,Thailand,1.2087912087912098
53,2001-04-01,Taiwan,2.1276595744680904
54,2001-04-01,United States,2.54
55,2001-04-01,South Africa,1.1931119311193101
56,2002-04-01,Argentina,0.7987220447284351
57,2002-04-01,Australia,1.61290322580645
58,2002-04-01,Brazil,1.53846153846154
59,2002-04-01,Canada,2.12101910828025
60,2002-04-01,Switzerland,3.79518072289157
61,2002-04-01,Chile,2.13740458015267
62,2002-04-01,China,1.26811594202899
63,2002-04-01,Czech Republic,1.6552941176470601
64,2002-04-01,Denmark,2.9534606205250604
65,2002-04-01,Euro area,2.37629999919206
66,2002-04-01,Britain,2.8855000017313
67,2002-04-01,Hong Kong,1.4
68,2002-04-01,Hungary,1.6875
69,2002-04-01,Indonesia,1.69671261930011
70,2002-04-01,Israel,2.50521920668058
71,2002-04-01,Japan,2.01538461538462
72,2002-04-01,South Korea,2.37730061349693
73,2002-04-01,Mexico,2.35991379310345
74,2002-04-01,Malaysia,1.32631578947368
75,2002-04-01,Norway,4.088785046728971
76,2002-04-01,New Zealand,1.60714285714286
77,2002-04-01,Peru,2.47813411078717
78,2002-04-01,Philippines,1.27450980392157
79,2002-04-01,Poland,1.46039603960396
80,2002-04-01,Russia,1.25
81,2002-04-01,Singapore,1.81318681318681
82,2002-04-01,Sweden,2.5
83,2002-04-01,Thailand,1.2702078521940001
84,2002-04-01,Turkey,3.02000755001888
85,2002-04-01,Taiwan,2.01149425287356
86,2002-04-01,United States,2.49
87,2002-04-01,South Africa,0.8899082568807339
88,2003-04-01,Argentina,1.42361111111111
89,2003-04-01,Australia,1.86335403726708
90,2003-04-01,Brazil,1.4820846905537501
